3m,14d,all,bias3,low,summer,cap,eve,applied,rolling_days,beta,hours_name,hours,gate,th
6.4418643038159775,11.243077009153783,6.500158581602696,-49.276236382060645,50.02959675906499,35.76236848811818,1.558266052465585,2.991853148327597,63,5,-0.3,nooneve,"11-15,17-18",absbias,250
6.444955103541765,11.26555552198232,6.5032106073243225,-47.96009438258928,50.16671582466871,36.261143248234454,1.558266052465585,2.991853148327597,119,14,-0.3,nooneve,"11-15,17-18",absbias,100
6.445403965140198,11.25406057516689,6.5036538379653885,-48.938607550710145,50.26312760958101,35.99984548042368,1.558266052465585,2.991853148327597,63,5,-0.2,nooneve,"11-15,17-18",absbias,250
6.445802400935298,11.232921112488588,6.504047275393544,-49.61299382859512,49.73610425276434,35.440748691670656,1.558266052465585,2.991853148327597,81,5,-0.3,day,10-18,absbias,250
6.447499593504799,11.259262743666204,6.505723176725311,-48.763326939070495,50.419949402715226,36.1094123827785,1.558266052465585,2.991853148327597,63,5,-0.15,nooneve,"11-15,17-18",absbias,250
6.447526400576612,11.247289977390096,6.505749647503089,-49.16311251506647,50.02644016227921,35.785432282792,1.558266052465585,2.991853148327597,81,5,-0.2,day,10-18,absbias,250
6.447728897306833,11.274869249164144,6.505949603916967,-47.790496307357294,50.45562773163734,36.43811308984296,1.558266052465585,2.991853148327597,77,14,-0.3,nooneve,"11-15,17-18",absbias,150
6.447762413199662,11.279470832095177,6.50598269935377,-48.55629128665034,50.57808994773426,36.57496532512145,1.558266052465585,2.991853148327597,147,5,-0.3,nooneve,"11-15,17-18",absbias,150
6.4479261033381405,11.298327074663293,6.506144336003612,-48.89683283386781,50.55661568048709,36.56927552951715,1.558266052465585,2.991853148327597,203,5,-0.3,nooneve,"11-15,17-18",absbias,100
6.447932599793569,11.268660097709592,6.506150750961172,-48.060372128001376,50.42630472452812,36.320133195437286,1.558266052465585,2.991853148327597,119,14,-0.2,nooneve,"11-15,17-18",absbias,100
6.448183564772172,11.259121229027608,6.5063985675904865,-48.03054632147769,50.37304709397781,36.14800472115175,1.558266052465585,2.991853148327597,119,7,-0.3,nooneve,"11-15,17-18",absbias,150
6.448209280779029,11.286069357386445,6.506423960990689,-48.689755220052454,50.56138758693414,36.45501020362703,1.558266052465585,2.991853148327597,203,5,-0.2,nooneve,"11-15,17-18",absbias,100
